     LITRE	0.001	0	   3   0   0   0   0   0   0   0   0   0
       KWH	3600000	0	   2   1  -2   0   0   0   0   0   0   0
        KV	1000	0	   2   1  -3  -1   0   0   0   0   0   0
      KOHM	1000	0	   2   1  -3  -2   0   0   0   0   0   0
        KW	1000	0	   2   1  -3   0   0   0   0   0   0   0
   LAMBERT	31415.92654	0	  -2   0   0   0   0   1   0   0   0   0
         L	0.001	0	   3   0   0   0   0   0   0   0   0   0
     LIGNE	0.002255883	0	   1   0   0   0   0   0   0   0   0   0
       M/S	1	0	   1   0  -1   0   0   0   0   0   0   0
   LUMIERE	299793000	0	   1   0  -1   0   0   0   0   0   0   0
     LUMEN	1	0	   0   0   0   0   0   1   0   0   0   0
         M	1	0	   1   0   0   0   0   0   0   0   0   0
        M2	1	0	   2   0   0   0   0   0   0   0   0   0
      M/S2	1	0	   1   0  -2   0   0   0   0   0   0   0
        M3	1	0	   3   0   0   0   0   0   0   0   0   0
       MGY	0.001	0	   2   0  -2   0   0   0   0   0   0   0
      MEGA	1000000	0	   0   0   0   0   0   0   0   0   0   0
       MBQ	1000000	0	   0   0   0   0   0   0   1   0   0   0
      MBAR	101.972	0	  -1   1  -2   0   0   0   0   0   0   0
       MCI	37000000	0	   0   0   0   0   0   0   1   0   0   0
        MF	0.001	0	  -2  -1   4   2   0   0   0   0   0   0
       MEV	1.6e-13	0	   2   1  -2   0   0   0   0   0   0   0
        MG	1e-06	0	   0   1   0   0   0   0   0   0   0   0
       MHZ	1000000	0	   0   0  -1   0   0   0   0   0   0   0
        MH	0.001	0	   2   1  -2  -2   0   0   0   0   0   0
     MGY/S	0.001	0	   2   0  -3   0   0   0   0   0   0   0
       MHO	1	0	  -2  -1   3   2   0   0   0   0   0   0
      MILE	1609.343131	0	   1   0   0   0   0   0   0   0   0   0
     MICRO	1e-06	0	   0   0   0   0   0   0   0   0   0   0
    MILE/H	0.4470397586	0	   1   0  -1   0   0   0   0   0   0   0
       MUA	1e-06	0	   0   0   0   1   0   0   0   0   0   0
     MOULE	4	0	   3   0   0   0   0   0   0   0   0   0
       MM3	1e-09	0	   3   0   0   0   0   0   0   0   0   0
        MM	0.001	0	   1   0   0   0   0   0   0   0   0   0
        ML	1e-06	0	   3   0   0   0   0   0   0   0   0   0
       MM2	1e-06	0	   2   0   0   0   0   0   0   0   0   0
        MN	60	0	   0   0   1   0   0   0   0   0   0   0
      MMHG	135.951315789	0	  -1   1  -2   0   0   0   0   0   0   0
      MOHM	1000000	0	   2   1  -3  -2   0   0   0   0   0   0
        MS	0.001	0	   0   0   1   0   0   0   0   0   0   0
      MR/H	0.0004124	0	   2   0  -3   0   0   0   0   0   0   0
        MR	1.48464	0	   2   0  -2   0   0   0   0   0   0   0
      MR/M	0.024744	0	   2   0  -3   0   0   0   0   0   0   0
       MSV	1e-06	0	   0   1   0   0   0   0   0   0   0   0
  MSIEMENS	0.001	0	  -2  -1   3   2   0   0   0   0   0   0
        MU	1e-06	0	   1   0   0   0   0   0   0   0   0   0
       MUV	1e-06	0	   2   1  -3  -1   0   0   0   0   0   0
       MUH	1e-06	0	   2   1  -2  -2   0   0   0   0   0   0
       MUF	1e-06	0	  -2  -1   4   2   0   0   0   0   0   0
      MUCI	37000	0	   0   0   0   0   0   0   1   0   0   0
    MUGY/S	1e-06	0	   2   0  -3   0   0   0   0   0   0   0
       MUS	1e-06	0	   0   0   1   0   0   0   0   0   0   0
       MUR	0.00148464	0	   2   0  -2   0   0   0   0   0   0   0
 MUSIEMENS	1e-06	0	  -2  -1   3   2   0   0   0   0   0   0
        NA	1e-09	0	   0   0   0   1   0   0   0   0   0   0
     MYRIA	10000	0	   0   0   0   0   0   0   0   0   0   0
        MV	0.001	0	   2   1  -3  -1   0   0   0   0   0   0
         N	1	0	   1   1  -2   0   0   0   0   0   0   0
        NF	1e-09	0	  -2  -1   4   2   0   0   0   0   0   0
      NANO	1e-09	0	   0   0   0   0   0   0   0   0   0   0
